identifier,name,num_pts,record_id,status,latitude,longitude,max_wind,min_pressure,datetime
AL011851,UNNAMED,14,,HU,28.0,-94.8,80,-999,1851-06-25T00:00:00
AL011851,UNNAMED,14,,HU,28.0,-95.4,80,-999,1851-06-25T06:00:00
AL011851,UNNAMED,14,,HU,28.0,-96.0,80,-999,1851-06-25T12:00:00
AL011851,UNNAMED,14,,HU,28.1,-96.5,80,-999,1851-06-25T18:00:00
AL011851,UNNAMED,14,L,HU,28.2,-96.8,80,-999,1851-06-25T21:00:00
AL011851,UNNAMED,14,,HU,28.2,-97.0,70,-999,1851-06-26T00:00:00
AL011851,UNNAMED,14,,TS,28.3,-97.6,60,-999,1851-06-26T06:00:00
AL011851,UNNAMED,14,,TS,28.4,-98.3,60,-999,1851-06-26T12:00:00
AL011851,UNNAMED,14,,TS,28.6,-98.9,50,-999,1851-06-26T18:00:00
AL011851,UNNAMED,14,,TS,29.0,-99.4,50,-999,1851-06-27T00:00:00
AL011851,UNNAMED,14,,TS,29.5,-99.8,40,-999,1851-06-27T06:00:00
AL011851,UNNAMED,14,,TS,30.0,-100.0,40,-999,1851-06-27T12:00:00
AL011851,UNNAMED,14,,TS,30.5,-100.1,40,-999,1851-06-27T18:00:00
AL011851,UNNAMED,14,,TS,31.0,-100.2,40,-999,1851-06-28T00:00:00
AL021851,UNNAMED,1,,HU,22.2,-97.6,80,-999,1851-07-05T12:00:00
AL031851,UNNAMED,1,,TS,12.0,-60.0,50,-999,1851-07-10T12:00:00
AL041851,UNNAMED,49,,TS,13.4,-48.0,40,-999,1851-08-16T00:00:00
AL041851,UNNAMED,49,,TS,13.7,-49.5,40,-999,1851-08-16T06:00:00
AL041851,UNNAMED,49,,TS,14.0,-51.0,50,-999,1851-08-16T12:00:00
AL041851,UNNAMED,49,,TS,14.4,-52.8,50,-999,1851-08-16T18:00:00
AL041851,UNNAMED,49,,TS,14.9,-54.6,60,-999,1851-08-17T00:00:00
AL041851,UNNAMED,49,,TS,15.4,-56.5,60,-999,1851-08-17T06:00:00
AL041851,UNNAMED,49,,HU,15.9,-58.5,70,-999,1851-08-17T12:00:00
AL041851,UNNAMED,49,,HU,16.1,-60.4,70,-999,1851-08-17T18:00:00
AL041851,UNNAMED,49,,HU,16.6,-62.5,80,-999,1851-08-18T00:00:00
AL041851,UNNAMED,49,,HU,16.9,-64.1,80,-999,1851-08-18T06:00:00
AL041851,UNNAMED,49,,HU,17.2,-66.0,90,-999,1851-08-18T12:00:00
AL041851,UNNAMED,49,,HU,17.6,-67.6,90,-999,1851-08-18T18:00:00
AL041851,UNNAMED,49,,HU,18.0,-69.3,90,-999,1851-08-19T00:00:00
AL041851,UNNAMED,49,,HU,18.4,-71.1,70,-999,1851-08-19T06:00:00
AL041851,UNNAMED,49,,TS,18.9,-72.6,60,-999,1851-08-19T12:00:00
AL041851,UNNAMED,49,,TS,19.4,-74.3,60,-999,1851-08-19T18:00:00
AL041851,UNNAMED,49,,HU,19.9,-75.9,70,-999,1851-08-20T00:00:00
AL041851,UNNAMED,49,,HU,20.5,-77.6,70,-999,1851-08-20T06:00:00
AL041851,UNNAMED,49,,HU,21.2,-79.0,70,-999,1851-08-20T12:00:00
AL041851,UNNAMED,49,,HU,21.9,-80.4,70,-999,1851-08-20T18:00:00
AL041851,UNNAMED,49,,TS,22.6,-81.4,60,-999,1851-08-21T00:00:00
AL041851,UNNAMED,49,,TS,23.2,-82.5,60,-999,1851-08-21T06:00:00
AL041851,UNNAMED,49,,HU,23.9,-83.6,70,-999,1851-08-21T12:00:00
AL041851,UNNAMED,49,,HU,24.4,-84.3,70,-999,1851-08-21T18:00:00
AL041851,UNNAMED,49,,HU,25.0,-84.9,80,-999,1851-08-22T00:00:00
AL041851,UNNAMED,49,,HU,25.6,-85.5,80,-999,1851-08-22T06:00:00
AL041851,UNNAMED,49,,HU,26.2,-86.0,90,-999,1851-08-22T12:00:00
AL041851,UNNAMED,49,,HU,26.8,-86.3,90,-999,1851-08-22T18:00:00
AL041851,UNNAMED,49,,HU,27.4,-86.5,100,-999,1851-08-23T00:00:00
AL041851,UNNAMED,49,,HU,28.0,-86.6,100,-999,1851-08-23T06:00:00
AL041851,UNNAMED,49,,HU,28.5,-86.6,100,-999,1851-08-23T12:00:00
AL041851,UNNAMED,49,,HU,29.6,-86.1,100,-999,1851-08-23T18:00:00
AL041851,UNNAMED,49,L,HU,30.1,-85.7,100,-999,1851-08-23T21:00:00
AL041851,UNNAMED,49,,HU,30.7,-85.1,90,-999,1851-08-24T00:00:00
AL041851,UNNAMED,49,,HU,31.6,-84.1,70,-999,1851-08-24T06:00:00
AL041851,UNNAMED,49,,TS,32.5,-83.0,60,-999,1851-08-24T12:00:00
AL041851,UNNAMED,49,,TS,33.4,-81.4,50,-999,1851-08-24T18:00:00
AL041851,UNNAMED,49,,TS,34.0,-80.0,40,-999,1851-08-25T00:00:00
AL041851,UNNAMED,49,,TS,34.8,-78.6,40,-999,1851-08-25T06:00:00
AL041851,UNNAMED,49,,TS,35.8,-77.0,40,-999,1851-08-25T12:00:00
AL041851,UNNAMED,49,,TS,36.8,-75.1,40,-999,1851-08-25T18:00:00
AL041851,UNNAMED,49,,TS,37.8,-73.6,40,-999,1851-08-26T00:00:00
AL041851,UNNAMED,49,,TS,38.9,-71.8,40,-999,1851-08-26T06:00:00
AL041851,UNNAMED,49,,TS,40.0,-70.0,40,-999,1851-08-26T12:00:00
AL041851,UNNAMED,49,,TS,41.3,-66.8,40,-999,1851-08-26T18:00:00
AL041851,UNNAMED,49,,TS,42.8,-63.3,40,-999,1851-08-27T00:00:00
AL041851,UNNAMED,49,,TS,44.5,-60.2,40,-999,1851-08-27T06:00:00
AL041851,UNNAMED,49,,TS,46.4,-57.2,40,-999,1851-08-27T12:00:00
AL041851,UNNAMED,49,,TS,48.5,-54.2,40,-999,1851-08-27T18:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-13T00:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-13T06:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-13T12:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-13T18:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-14T00:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-14T06:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-14T12:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-14T18:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-15T00:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-15T06:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-15T12:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-15T18:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-16T00:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-16T06:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-16T12:00:00
AL051851,UNNAMED,16,,TS,32.5,-73.5,50,-999,1851-09-16T18:00:00
AL061851,UNNAMED,17,,TS,28.7,-78.0,40,-999,1851-10-16T00:00:00
AL061851,UNNAMED,17,,TS,29.1,-77.8,40,-999,1851-10-16T06:00:00
AL061851,UNNAMED,17,,TS,29.5,-77.5,50,-999,1851-10-16T12:00:00
AL061851,UNNAMED,17,,TS,30.1,-77.1,50,-999,1851-10-16T18:00:00
AL061851,UNNAMED,17,,TS,30.7,-76.6,60,-999,1851-10-17T00:00:00
AL061851,UNNAMED,17,,TS,31.2,-76.3,60,-999,1851-10-17T06:00:00
AL061851,UNNAMED,17,,TS,31.6,-75.9,60,-999,1851-10-17T12:00:00
AL061851,UNNAMED,17,,TS,32.0,-75.5,60,-999,1851-10-17T18:00:00
AL061851,UNNAMED,17,,TS,32.7,-74.9,60,-999,1851-10-18T00:00:00
AL061851,UNNAMED,17,,TS,33.3,-74.3,60,-999,1851-10-18T06:00:00
AL061851,UNNAMED,17,,TS,34.0,-73.8,60,-999,1851-10-18T12:00:00
AL061851,UNNAMED,17,,TS,35.3,-73.0,60,-999,1851-10-18T18:00:00
AL061851,UNNAMED,17,,TS,37.0,-72.6,50,-999,1851-10-19T00:00:00
AL061851,UNNAMED,17,,TS,38.5,-72.1,50,-999,1851-10-19T06:00:00
AL061851,UNNAMED,17,,TS,40.2,-71.8,50,-999,1851-10-19T12:00:00
AL061851,UNNAMED,17,L,TS,41.1,-71.7,50,-999,1851-10-19T15:00:00
AL061851,UNNAMED,17,,TS,42.0,-71.6,40,-999,1851-10-19T18:00:00
AL011852,UNNAMED,45,,TS,20.5,-67.1,60,-999,1852-08-19T00:00:00
AL011852,UNNAMED,45,,TS,20.7,-68.0,60,-999,1852-08-19T06:00:00
AL011852,UNNAMED,45,,TS,20.9,-68.8,60,-999,1852-08-19T12:00:00
AL011852,UNNAMED,45,,TS,21.1,-69.6,60,-999,1852-08-19T18:00:00
AL011852,UNNAMED,45,,HU,21.2,-70.6,70,-999,1852-08-20T00:00:00
AL011852,UNNAMED,45,,HU,21.5,-71.9,70,-999,1852-08-20T06:00:00
AL011852,UNNAMED,45,,HU,21.7,-73.0,70,-999,1852-08-20T12:00:00
AL011852,UNNAMED,45,,HU,21.9,-74.0,70,-999,1852-08-20T18:00:00
AL011852,UNNAMED,45,,HU,22.1,-74.9,80,-999,1852-08-21T00:00:00
AL011852,UNNAMED,45,,HU,22.2,-76.1,80,-999,1852-08-21T06:00:00
AL011852,UNNAMED,45,,HU,22.6,-77.1,80,-999,1852-08-21T12:00:00
AL011852,UNNAMED,45,,HU,22.9,-78.1,80,-999,1852-08-21T18:00:00
AL011852,UNNAMED,45,,HU,23.2,-79.3,90,-999,1852-08-22T00:00:00
AL011852,UNNAMED,45,,HU,23.5,-80.1,90,-999,1852-08-22T06:00:00
AL011852,UNNAMED,45,,HU,23.8,-81.1,90,-999,1852-08-22T12:00:00
AL011852,UNNAMED,45,,HU,24.2,-82.1,90,-999,1852-08-22T18:00:00
AL011852,UNNAMED,45,,HU,24.7,-83.1,90,-999,1852-08-23T00:00:00
AL011852,UNNAMED,45,,HU,25.2,-83.9,90,-999,1852-08-23T06:00:00
AL011852,UNNAMED,45,,HU,25.7,-84.6,90,-999,1852-08-23T12:00:00
AL011852,UNNAMED,45,,HU,26.2,-85.3,90,-999,1852-08-23T18:00:00
AL011852,UNNAMED,45,,HU,26.7,-86.0,100,-999,1852-08-24T00:00:00
AL011852,UNNAMED,45,,HU,27.2,-86.6,100,-999,1852-08-24T06:00:00
AL011852,UNNAMED,45,,HU,27.7,-87.1,100,-999,1852-08-24T12:00:00
AL011852,UNNAMED,45,,HU,28.2,-87.5,100,-999,1852-08-24T18:00:00
AL011852,UNNAMED,45,,HU,28.6,-87.8,100,-999,1852-08-25T00:00:00
AL011852,UNNAMED,45,,HU,28.8,-88.0,100,-999,1852-08-25T06:00:00
AL011852,UNNAMED,45,,HU,29.1,-88.2,100,-999,1852-08-25T12:00:00
AL011852,UNNAMED,45,,HU,29.4,-88.4,100,-999,1852-08-25T18:00:00
AL011852,UNNAMED,45,,HU,29.8,-88.6,100,-999,1852-08-26T00:00:00
AL011852,UNNAMED,45,L,HU,30.2,-88.6,100,961,1852-08-26T06:00:00
AL011852,UNNAMED,45,,HU,30.6,-88.5,90,-999,1852-08-26T12:00:00
AL011852,UNNAMED,45,,HU,31.2,-88.1,70,-999,1852-08-26T18:00:00
AL011852,UNNAMED,45,,TS,31.8,-87.4,50,-999,1852-08-27T00:00:00
AL011852,UNNAMED,45,,TS,32.3,-86.3,40,-999,1852-08-27T06:00:00
AL011852,UNNAMED,45,,TS,32.8,-84.8,40,-999,1852-08-27T12:00:00
AL011852,UNNAMED,45,,TS,33.2,-82.8,40,-999,1852-08-27T18:00:00
AL011852,UNNAMED,45,,TS,33.5,-80.5,40,-999,1852-08-28T00:00:00
AL011852,UNNAMED,45,,TS,33.8,-78.2,40,-999,1852-08-28T06:00:00
AL011852,UNNAMED,45,,TS,34.0,-76.0,40,-999,1852-08-28T12:00:00
AL011852,UNNAMED,45,,TS,34.4,-74.2,40,-999,1852-08-28T18:00:00
AL011852,UNNAMED,45,,TS,35.2,-72.8,50,-999,1852-08-29T00:00:00
AL011852,UNNAMED,45,,TS,36.4,-71.8,50,-999,1852-08-29T06:00:00
AL011852,UNNAMED,45,,TS,38.0,-70.8,50,-999,1852-08-29T12:00:00
AL011852,UNNAMED,45,,TS,39.6,-69.6,50,-999,1852-08-29T18:00:00
AL011852,UNNAMED,45,,TS,41.0,-68.0,50,-999,1852-08-30T00:00:00
AL021852,UNNAMED,8,,HU,17.0,-64.1,70,-999,1852-09-05T00:00:00
AL021852,UNNAMED,8,,HU,17.4,-65.1,70,-999,1852-09-05T06:00:00
AL021852,UNNAMED,8,,HU,17.7,-66.1,70,-999,1852-09-05T12:00:00
AL021852,UNNAMED,8,,TS,18.2,-67.1,60,-999,1852-09-05T18:00:00
AL021852,UNNAMED,8,,TS,18.6,-68.8,60,-999,1852-09-06T00:00:00
AL021852,UNNAMED,8,,TS,19.2,-70.1,50,-999,1852-09-06T06:00:00
AL021852,UNNAMED,8,,TS,19.5,-71.4,40,-999,1852-09-06T12:00:00
AL021852,UNNAMED,8,,TS,19.7,-72.5,40,-999,1852-09-06T18:00:00
AL031852,UNNAMED,20,,HU,26.4,-90.4,70,-999,1852-09-09T00:00:00
AL031852,UNNAMED,20,,HU,26.5,-89.6,70,-999,1852-09-09T06:00:00
AL031852,UNNAMED,20,,HU,26.6,-88.8,70,-999,1852-09-09T12:00:00
AL031852,UNNAMED,20,,HU,26.6,-88.1,70,-999,1852-09-09T18:00:00
AL031852,UNNAMED,20,,HU,26.8,-87.4,70,-999,1852-09-10T00:00:00
AL031852,UNNAMED,20,,HU,26.9,-86.6,70,-999,1852-09-10T06:00:00
AL031852,UNNAMED,20,,HU,27.1,-86.1,70,-999,1852-09-10T12:00:00
AL031852,UNNAMED,20,,HU,27.3,-85.6,70,-999,1852-09-10T18:00:00
AL031852,UNNAMED,20,,HU,27.5,-85.1,70,-999,1852-09-11T00:00:00
AL031852,UNNAMED,20,,HU,27.7,-84.6,70,-999,1852-09-11T06:00:00
AL031852,UNNAMED,20,,HU,27.8,-84.0,70,-999,1852-09-11T12:00:00
AL031852,UNNAMED,20,,HU,27.9,-83.4,70,-999,1852-09-11T18:00:00
AL031852,UNNAMED,20,L,HU,28.0,-82.8,70,-999,1852-09-12T00:00:00
AL031852,UNNAMED,20,,TS,28.1,-82.2,60,-999,1852-09-12T06:00:00
AL031852,UNNAMED,20,,TS,28.2,-81.5,50,-999,1852-09-12T12:00:00
AL031852,UNNAMED,20,,TS,28.5,-80.5,50,-999,1852-09-12T18:00:00
AL031852,UNNAMED,20,,TS,29.2,-79.0,60,-999,1852-09-13T00:00:00
AL031852,UNNAMED,20,,HU,30.4,-77.0,70,-999,1852-09-13T06:00:00
AL031852,UNNAMED,20,,HU,32.0,-74.5,70,-999,1852-09-13T12:00:00
AL031852,UNNAMED,20,,HU,34.0,-71.5,70,-999,1852-09-13T18:00:00
AL041852,UNNAMED,36,,TS,16.1,-58.5,50,-999,1852-09-22T00:00:00
AL041852,UNNAMED,36,,TS,16.4,-59.1,50,-999,1852-09-22T06:00:00
AL041852,UNNAMED,36,,TS,16.7,-59.7,50,-999,1852-09-22T12:00:00
AL041852,UNNAMED,36,,TS,17.0,-60.3,50,-999,1852-09-22T18:00:00
AL041852,UNNAMED,36,,TS,17.4,-61.2,60,-999,1852-09-23T00:00:00
AL041852,UNNAMED,36,,TS,17.7,-62.2,60,-999,1852-09-23T06:00:00
AL041852,UNNAMED,36,,HU,18.1,-63.1,70,-999,1852-09-23T12:00:00
AL041852,UNNAMED,36,,HU,18.4,-63.7,70,-999,1852-09-23T18:00:00
AL041852,UNNAMED,36,,HU,18.7,-64.3,70,-999,1852-09-24T00:00:00
AL041852,UNNAMED,36,,HU,18.9,-65.0,70,-999,1852-09-24T06:00:00
AL041852,UNNAMED,36,,HU,19.1,-65.8,70,-999,1852-09-24T12:00:00
AL041852,UNNAMED,36,,HU,19.2,-66.6,70,-999,1852-09-24T18:00:00
AL041852,UNNAMED,36,,HU,19.5,-67.4,80,-999,1852-09-25T00:00:00
AL041852,UNNAMED,36,,HU,19.7,-68.1,80,-999,1852-09-25T06:00:00
AL041852,UNNAMED,36,,HU,19.9,-68.8,80,-999,1852-09-25T12:00:00
AL041852,UNNAMED,36,,HU,20.0,-69.6,80,-999,1852-09-25T18:00:00
AL041852,UNNAMED,36,,HU,20.1,-70.3,80,-999,1852-09-26T00:00:00
AL041852,UNNAMED,36,,HU,20.4,-70.9,80,-999,1852-09-26T06:00:00
AL041852,UNNAMED,36,,HU,20.7,-71.6,80,-999,1852-09-26T12:00:00
AL041852,UNNAMED,36,,HU,21.0,-72.1,80,-999,1852-09-26T18:00:00
AL041852,UNNAMED,36,,HU,21.4,-73.0,80,-999,1852-09-27T00:00:00
AL041852,UNNAMED,36,,HU,21.9,-73.6,80,-999,1852-09-27T06:00:00
AL041852,UNNAMED,36,,HU,22.5,-74.0,80,-999,1852-09-27T12:00:00
AL041852,UNNAMED,36,,HU,23.2,-74.4,80,-999,1852-09-27T18:00:00
AL041852,UNNAMED,36,,HU,23.9,-74.6,80,-999,1852-09-28T00:00:00
AL041852,UNNAMED,36,,HU,24.6,-74.6,80,-999,1852-09-28T06:00:00
AL041852,UNNAMED,36,,HU,25.4,-74.5,80,-999,1852-09-28T12:00:00
AL041852,UNNAMED,36,,HU,26.5,-74.0,80,-999,1852-09-28T18:00:00
AL041852,UNNAMED,36,,HU,27.4,-73.5,80,-999,1852-09-29T00:00:00
AL041852,UNNAMED,36,,HU,28.2,-72.9,80,-999,1852-09-29T06:00:00
AL041852,UNNAMED,36,,HU,29.0,-72.3,80,-999,1852-09-29T12:00:00
AL041852,UNNAMED,36,,HU,30.2,-71.5,80,-999,1852-09-29T18:00:00
AL041852,UNNAMED,36,,HU,31.6,-70.5,70,-999,1852-09-30T00:00:00
AL041852,UNNAMED,36,,HU,32.7,-69.6,70,-999,1852-09-30T06:00:00
AL041852,UNNAMED,36,,HU,33.8,-69.1,70,-999,1852-09-30T12:00:00
AL041852,UNNAMED,36,,HU,34.9,-68.6,70,-999,1852-09-30T18:00:00
AL051852,UNNAMED,25,,HU,17.0,-73.8,90,-999,1852-10-06T00:00:00
AL051852,UNNAMED,25,,HU,17.1,-75.0,90,-999,1852-10-06T06:00:00
AL051852,UNNAMED,25,,HU,17.2,-76.3,90,-999,1852-10-06T12:00:00
AL051852,UNNAMED,25,,HU,17.2,-77.8,90,-999,1852-10-06T18:00:00
AL051852,UNNAMED,25,,HU,17.7,-79.6,90,-999,1852-10-07T00:00:00
AL051852,UNNAMED,25,,HU,18.2,-81.5,90,-999,1852-10-07T06:00:00
AL051852,UNNAMED,25,,HU,18.7,-83.1,90,-999,1852-10-07T12:00:00
AL051852,UNNAMED,25,,HU,19.5,-84.4,90,-999,1852-10-07T18:00:00
AL051852,UNNAMED,25,,HU,20.4,-85.5,90,-999,1852-10-08T00:00:00
AL051852,UNNAMED,25,,HU,21.2,-86.4,90,-999,1852-10-08T06:00:00
AL051852,UNNAMED,25,,HU,22.4,-86.9,90,-999,1852-10-08T12:00:00
AL051852,UNNAMED,25,,HU,24.0,-86.8,90,-999,1852-10-08T18:00:00
AL051852,UNNAMED,25,,HU,25.6,-86.4,90,-999,1852-10-09T00:00:00
AL051852,UNNAMED,25,,HU,26.9,-85.9,90,-999,1852-10-09T06:00:00
AL051852,UNNAMED,25,,HU,28.0,-85.5,90,-999,1852-10-09T12:00:00
AL051852,UNNAMED,25,,HU,29.2,-84.9,90,-999,1852-10-09T18:00:00
AL051852,UNNAMED,25,L,HU,29.9,-84.4,90,-999,1852-10-09T21:00:00
AL051852,UNNAMED,25,,HU,30.5,-83.9,80,-999,1852-10-10T00:00:00
AL051852,UNNAMED,25,,TS,31.8,-82.8,60,-999,1852-10-10T06:00:00
AL051852,UNNAMED,25,,TS,33.0,-81.1,50,-999,1852-10-10T12:00:00
AL051852,UNNAMED,25,,TS,34.0,-79.5,50,-999,1852-10-10T18:00:00
AL051852,UNNAMED,25,,TS,35.0,-77.0,50,-999,1852-10-11T00:00:00
AL051852,UNNAMED,25,,TS,36.0,-74.0,50,-999,1852-10-11T06:00:00
AL051852,UNNAMED,25,,TS,38.0,-70.0,60,-999,1852-10-11T12:00:00
AL051852,UNNAMED,25,,TS,40.0,-66.0,60,-999,1852-10-11T18:00:00
AL011853,UNNAMED,1,,TS,32.5,-69.0,50,-999,1853-08-05T12:00:00
AL021853,UNNAMED,1,,TS,12.0,-60.0,40,-999,1853-08-10T12:00:00
AL031853,UNNAMED,48,,TS,12.1,-23.2,40,-999,1853-08-30T00:00:00
AL031853,UNNAMED,48,,TS,12.3,-25.1,40,-999,1853-08-30T06:00:00
AL031853,UNNAMED,48,,TS,12.5,-27.0,40,-999,1853-08-30T12:00:00
AL031853,UNNAMED,48,,TS,12.8,-28.9,40,-999,1853-08-30T18:00:00
AL031853,UNNAMED,48,,TS,13.0,-30.9,50,-999,1853-08-31T00:00:00
AL031853,UNNAMED,48,,TS,13.3,-33.0,50,-999,1853-08-31T06:00:00
AL031853,UNNAMED,48,,TS,13.6,-35.0,60,-999,1853-08-31T12:00:00
AL031853,UNNAMED,48,,TS,13.9,-36.8,60,-999,1853-08-31T18:00:00
AL031853,UNNAMED,48,,HU,14.2,-38.5,70,-999,1853-09-01T00:00:00
AL031853,UNNAMED,48,,HU,14.6,-40.5,70,-999,1853-09-01T06:00:00
AL031853,UNNAMED,48,,HU,14.9,-42.3,80,-999,1853-09-01T12:00:00
AL031853,UNNAMED,48,,HU,15.2,-43.9,80,-999,1853-09-01T18:00:00
AL031853,UNNAMED,48,,HU,15.7,-45.7,90,-999,1853-09-02T00:00:00
AL031853,UNNAMED,48,,HU,16.2,-47.3,90,-999,1853-09-02T06:00:00
AL031853,UNNAMED,48,,HU,16.7,-49.0,100,-999,1853-09-02T12:00:00
AL031853,UNNAMED,48,,HU,17.4,-51.0,110,-999,1853-09-02T18:00:00
AL031853,UNNAMED,48,,HU,18.2,-52.8,120,-999,1853-09-03T00:00:00
AL031853,UNNAMED,48,,HU,19.1,-54.6,130,-999,1853-09-03T06:00:00
AL031853,UNNAMED,48,,HU,19.7,-56.2,130,924,1853-09-03T12:00:00
AL031853,UNNAMED,48,,HU,20.7,-58.0,130,-999,1853-09-03T18:00:00
AL031853,UNNAMED,48,,HU,21.2,-59.9,120,-999,1853-09-04T00:00:00
AL031853,UNNAMED,48,,HU,22.0,-61.8,120,-999,1853-09-04T06:00:00
AL031853,UNNAMED,48,,HU,22.7,-63.7,120,-999,1853-09-04T12:00:00
AL031853,UNNAMED,48,,HU,23.4,-65.3,120,-999,1853-09-04T18:00:00
AL031853,UNNAMED,48,,HU,24.2,-67.1,120,-999,1853-09-05T00:00:00
AL031853,UNNAMED,48,,HU,25.0,-68.6,120,-999,1853-09-05T06:00:00
AL031853,UNNAMED,48,,HU,25.8,-70.1,120,-999,1853-09-05T12:00:00
AL031853,UNNAMED,48,,HU,26.6,-71.1,120,-999,1853-09-05T18:00:00
AL031853,UNNAMED,48,,HU,27.3,-72.0,120,-999,1853-09-06T00:00:00
AL031853,UNNAMED,48,,HU,28.2,-72.9,120,-999,1853-09-06T06:00:00
AL031853,UNNAMED,48,,HU,29.1,-73.5,120,-999,1853-09-06T12:00:00
AL031853,UNNAMED,48,,HU,30.2,-74.0,120,-999,1853-09-06T18:00:00
AL031853,UNNAMED,48,,HU,31.2,-74.3,110,-999,1853-09-07T00:00:00
AL031853,UNNAMED,48,,HU,32.5,-74.1,110,-999,1853-09-07T06:00:00
AL031853,UNNAMED,48,,HU,33.7,-73.9,100,-999,1853-09-07T12:00:00
AL031853,UNNAMED,48,,HU,34.9,-72.9,100,-999,1853-09-07T18:00:00
AL031853,UNNAMED,48,,HU,36.0,-71.6,100,-999,1853-09-08T00:00:00
AL031853,UNNAMED,48,,HU,36.8,-69.9,100,-999,1853-09-08T06:00:00
AL031853,UNNAMED,48,,HU,37.5,-67.9,100,-999,1853-09-08T12:00:00
AL031853,UNNAMED,48,,HU,38.2,-65.4,100,-999,1853-09-08T18:00:00
AL031853,UNNAMED,48,,HU,39.0,-62.3,100,-999,1853-09-09T00:00:00
AL031853,UNNAMED,48,,HU,39.9,-59.4,90,-999,1853-09-09T06:00:00
AL031853,UNNAMED,48,,HU,40.8,-56.8,80,-999,1853-09-09T12:00:00
AL031853,UNNAMED,48,,HU,41.9,-53.4,70,-999,1853-09-09T18:00:00
AL031853,UNNAMED,48,,HU,42.9,-49.5,70,-999,1853-09-10T00:00:00
AL031853,UNNAMED,48,,HU,43.9,-45.5,70,-999,1853-09-10T06:00:00
AL031853,UNNAMED,48,,HU,45.0,-41.2,70,-999,1853-09-10T12:00:00
AL031853,UNNAMED,48,,HU,46.2,-36.2,70,-999,1853-09-10T18:00:00
AL041853,UNNAMED,12,,HU,37.0,-53.0,100,-999,1853-09-08T00:00:00
AL041853,UNNAMED,12,,HU,38.0,-51.0,100,-999,1853-09-08T06:00:00
AL041853,UNNAMED,12,,HU,39.0,-49.0,100,-999,1853-09-08T12:00:00
AL041853,UNNAMED,12,,HU,40.0,-46.8,100,-999,1853-09-08T18:00:00
AL041853,UNNAMED,12,,HU,41.3,-44.0,100,-999,1853-09-09T00:00:00
AL041853,UNNAMED,12,,HU,42.5,-41.5,100,-999,1853-09-09T06:00:00
AL041853,UNNAMED,12,,HU,43.4,-39.3,100,-999,1853-09-09T12:00:00
AL041853,UNNAMED,12,,HU,44.5,-37.2,100,-999,1853-09-09T18:00:00
AL041853,UNNAMED,12,,HU,45.5,-34.7,100,-999,1853-09-10T00:00:00
AL041853,UNNAMED,12,,HU,46.3,-32.3,100,-999,1853-09-10T06:00:00
AL041853,UNNAMED,12,,HU,47.0,-30.0,90,-999,1853-09-10T12:00:00
AL041853,UNNAMED,12,,HU,48.0,-27.5,90,-999,1853-09-10T18:00:00
AL051853,UNNAMED,1,,TS,20.0,-95.0,50,-999,1853-09-21T12:00:00
AL061853,UNNAMED,22,,TS,25.8,-62.0,50,-999,1853-09-26T00:00:00
AL061853,UNNAMED,22,,TS,27.4,-62.5,50,-999,1853-09-26T06:00:00
AL061853,UNNAMED,22,,TS,29.0,-62.9,50,-999,1853-09-26T12:00:00
AL061853,UNNAMED,22,,TS,30.6,-63.2,50,-999,1853-09-26T18:00:00
AL061853,UNNAMED,22,,TS,32.9,-62.6,60,-999,1853-09-27T00:00:00
AL061853,UNNAMED,22,,TS,34.8,-61.3,60,-999,1853-09-27T06:00:00
AL061853,UNNAMED,22,,HU,36.0,-59.8,70,-999,1853-09-27T12:00:00
AL061853,UNNAMED,22,,HU,36.7,-58.4,70,-999,1853-09-27T18:00:00
AL061853,UNNAMED,22,,HU,36.8,-57.4,70,-999,1853-09-28T00:00:00
AL061853,UNNAMED,22,,HU,36.3,-56.7,70,-999,1853-09-28T06:00:00
AL061853,UNNAMED,22,,HU,35.5,-56.9,70,-999,1853-09-28T12:00:00
AL061853,UNNAMED,22,,HU,35.5,-57.0,70,-999,1853-09-28T18:00:00
AL061853,UNNAMED,22,,HU,35.4,-57.2,70,-999,1853-09-29T00:00:00
AL061853,UNNAMED,22,,HU,35.3,-57.4,70,-999,1853-09-29T06:00:00
AL061853,UNNAMED,22,,HU,35.3,-57.7,70,-999,1853-09-29T12:00:00
